series_id,obs_date,value
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,1990-01-01,0.49
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,1991-01-01,0.48
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,1992-01-01,0.46
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,1993-01-01,0.45
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,1994-01-01,0.44
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,1995-01-01,0.43
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,1996-01-01,0.42
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,1997-01-01,0.41
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,1998-01-01,0.4
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,1999-01-01,0.4
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2000-01-01,0.39
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2001-01-01,0.38
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2002-01-01,0.38
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2003-01-01,0.37
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2004-01-01,0.37
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2005-01-01,0.36
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2006-01-01,0.36
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2007-01-01,0.36
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2008-01-01,0.36
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2009-01-01,0.35
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2010-01-01,0.35
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2011-01-01,0.35
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2012-01-01,0.35
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2013-01-01,0.35
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2014-01-01,0.35
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2015-01-01,0.34
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2016-01-01,0.34
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2017-01-01,0.34
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2018-01-01,0.34
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2019-01-01,0.34
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2020-01-01,0.34
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2021-01-01,0.33
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2022-01-01,0.33
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2023-01-01,0.33
WHO_SDG:SDGHIV.PAN.SEX_BTSX.A,2024-01-01,0.33
